type,content,links
p,"Observatorium Bosscha adalah lembaga riset yang berada di bawah naungan Fakultas Matematika dan Ilmu Pengetahuan Alam ITB. Observatorium Bosscha merupakan observatorium tertua di Indonesia. Bersama-sama dengan Program Studi Astronomi, FMIPA ITB, Observatorium Bosscha menjadi pusat penelitian, pendidikan, dan pengembangan ilmu Astronomi di Indonesia.",
h3,Museum Zoologi,
p,Museum Zoologi SITH-ITB menyimpan sekitar 15 ribu sampel hewan dan bagian tubuh dari hewan. Hewan-hewan yang dikoleksi mencakup hewan-hewan yang dahulu mudah dijumpai di lingkungan kita serta beberapa hewan langka. Museum ini juga dibangun sebagai penunjang perkuliahan.,
h3,Pusat Iptek Sabuga,
p,"Pusat Iptek Sabuga terletak di lantai 4 Gedung Sasana Budaya Ganesha. Pusat Iptek Sabuga merupakan galeri sains yang di dalamnya terdapat Dome Theatre yang menampilkan pertunjukan khusus, area Kids Smart yang memperkenalkan teknologi kepada anak-anak dengan metode bermain sambil belajar, serta terdapat Science Gallery yang memiliki alat-alat peraga seperti bicycle gyro, momentum chair, dll.",
h3,ITB Kampus Ganesha,
p,"Jl. Ganesa No. 10Coblong, Kota Bandung, Jawa BaratIndonesia 40132humas@itb.ac.id",mailto:humas@itb.ac.id
h3,ITB Kampus Jatinangor,
p,"Jl. Let. Jen. Purn. Dr. (HC) Mashudi No. 1Jatinangor, Kab. Sumedang, Jawa BaratIndonesia 45363humas_jatinangor@itb.ac.id",mailto:humas_jatinangor@itb.ac.id
h3,ITB Kampus Cirebon,
p,"Desa Kebonturi, Arjawinangun,Blok.04 RT. 003/RW. 004, Kab. Cirebon, Jawa BaratIndonesia 45162kampuscirebon@itb.ac.id",mailto:kampuscirebon@itb.ac.id
h3,ITB Kampus Jakarta,
p,"Gedung Graha Irama (Indorama) Lt. 10 & 12Jl. H. R. Rasuna Said Kav. 1 SetiabudiKota Jakarta Selatan, DKI Jakarta Indonesia 12950kampusjakarta@itb.ac.id",mailto:kampusjakarta@itb.ac.id
h3,Tentang ITB,
li,Sejarah,https://itb.ac.id/sejarah
li,Kunjungan,https://itb.ac.id/kunjungan
li,Unduh,https://itb.ac.id/unduh
li,Direktori,/directories
li,Peta Kampus,http://petakampus.itb.ac.id/
h3,Penerimaan,
li,Pascasarjana,https://itb.ac.id/pascasarjana
li,Pertukaran Mahasiswa,https://itb.ac.id/pertukaran-mahasiswa
li,Profesi,https://itb.ac.id/profesi
li,Sarjana,https://itb.ac.id/sarjana
li,Kelas Internasional,https://itb.ac.id/kelas-internasional
h3,Pendidikan,
li,Fakultas dan Sekolah,https://itb.ac.id/fakultas-dan-sekolah
li,Program Studi,https://itb.ac.id/program-studi
li,Beasiswa,https://itb.ac.id/beasiswa
li,Pembelajaran Jarak Jauh,https://edunex.itb.ac.id/edunex-landing
li,Blended Learning,https://edunex.itb.ac.id/edunex-landing
li,Perpustakaan Digital,https://lib.itb.ac.id/
li,Agenda Akademik,/agenda/academic
h3,Penelitian,
li,Penelitian,https://itb.ac.id/penelitian
li,Kelompok Keahlian/Keilmuan,https://itb.ac.id/kelompok-keahliankeilmuan
li,Jurnal,https://itb.ac.id/jurnal
h3,Pengabdian,
li,DKST,https://dkst.itb.ac.id/
li,DRPM,https://drpm.itb.ac.id/
li,DPITM,https://dpitm.itb.ac.id/
li,Kemitraan,https://partnership.itb.ac.id/
li,BPUDL,https://bpudl.itb.ac.id/
h3,Tentang ITB,
li,Sejarah,https://itb.ac.id/sejarah
li,Kunjungan,https://itb.ac.id/kunjungan
li,Unduh,https://itb.ac.id/unduh
li,Direktori,/directories
li,Peta Kampus,http://petakampus.itb.ac.id/
h3,Penerimaan,
li,Pascasarjana,https://itb.ac.id/pascasarjana
li,Pertukaran Mahasiswa,https://itb.ac.id/pertukaran-mahasiswa
li,Profesi,https://itb.ac.id/profesi
li,Sarjana,https://itb.ac.id/sarjana
li,Kelas Internasional,https://itb.ac.id/kelas-internasional
h3,Pendidikan,
li,Fakultas dan Sekolah,https://itb.ac.id/fakultas-dan-sekolah
li,Program Studi,https://itb.ac.id/program-studi
li,Beasiswa,https://itb.ac.id/beasiswa
li,Pembelajaran Jarak Jauh,https://edunex.itb.ac.id/edunex-landing
li,Blended Learning,https://edunex.itb.ac.id/edunex-landing
li,Perpustakaan Digital,https://lib.itb.ac.id/
li,Agenda Akademik,/agenda/academic
h3,Penelitian,
li,Penelitian,https://itb.ac.id/penelitian
li,Kelompok Keahlian/Keilmuan,https://itb.ac.id/kelompok-keahliankeilmuan
li,Jurnal,https://itb.ac.id/jurnal
h3,Pengabdian,
li,DKST,https://dkst.itb.ac.id/
li,DRPM,https://drpm.itb.ac.id/
li,DPITM,https://dpitm.itb.ac.id/
li,Kemitraan,https://partnership.itb.ac.id/
li,BPUDL,https://bpudl.itb.ac.id/
