type,content,links
p,"Kampus Jatinangor terletak di Sayang, Kecamatan Jatinangor, Kabupaten Sumedang, Jawa Barat. Kampus ini dibangun di lahan aset milik Pemerintah Provinsi Jawa Barat seluas 47 hektar yang sebelumnya digunakan sebagai kampus Universitas Winayamukti. Letak kampus ini cukup strategis karena berhadapan dengan Jalan Raya Bandung-Sumedang dan diapit oleh beberapa perguruan tinggi lainnya seperti Universitas Padjadjaran (UNPAD), Institut Manajemen Koperasi Indonesia (IKOPIN), dan Institut Pemerintahan Dalam Negeri (IPDN). Pada masa mendatang, akses menuju Kampus Jatinangor akan semakin mudah seiring dengan dibangunnya Jalan Tol Cileunyi-Sumedang-Dawuan (Cisumdawu).",
p,Selengkapnya,kampus-jatinangor/
h4,ITB Kampus Cirebon,
p,,
p,"Lahan seluas 30 hektar di Kecamatan Arjawinangun Kabupaten Cirebon, dipersiapkan untuk pembangunan Kampus ITB di Cirebon. Terdapat 4 program studi yang telah dibuka ITB di Kampus Cirebon, yaitu Sarjana Teknik Industri, Sarjana Perencanaan Wilayah dan Kota, Sarjana Kriya, Sarjana Teknik Geofisika dan Sarjana Oseanografi. Pembangunan kampus di kota Cirebon sebagai bentuk peranan ITB dalam membangun riset yang unggul dan mengembangkan sumber daya manusia berkualitas dalam skala regional maupun nasional.",
p,Selengkapnya,kampus-cirebon/
h4,ITB Kampus Jakarta,
p,,
p,"Saat ini ITB telah melakukan pengembangan beberapa multikampus, yaitu ITB Kampus Ganesha, ITB Kampus Jatinangor, dan ITB Kampus Cirebon. Tidak hanya di tiga lokasi, ITB juga telah memperluas program multikampusnya di Jakarta. Terletak di Jantung Kota Jakarta, Kuningan, Rasuna Said, ITB memproyeksikan lokasi ini menjadi Kampus Jakarta secara permanen.",
p,Selengkapnya,kampus-jakarta/
h3,Tentang ITB,
li,Sejarah,https://itb.ac.id/sejarah
li,Visi dan Misi,https://itb.ac.id/visi-dan-misi
li,Tugas dan Fungsi,https://itb.ac.id/tugas-dan-fungsi
li,In Harmonia Progressio,https://itb.ac.id/in-harmonia-progressio
li,"In Harmonia Progressio, Menggapai Martabat Bangsa dan Reputasi Dunia",https://itb.ac.id/in-harmonia-progressio-menggapai-martabat-bangsa-dan-reputasi-dunia
li,Rektor,https://itb.ac.id/rektor
li,Wakil Rektor,https://itb.ac.id/wakil-rektor
li,Majelis Wali Amanat,https://itb.ac.id/majelis-wali-amanat
li,Senat Akademik,https://itb.ac.id/senat-akademik
li,Multikampus,https://itb.ac.id/multikampus
li,Kunjungan,https://itb.ac.id/kunjungan
li,Unduh,https://itb.ac.id/unduh
p,,
h3,ITB Kampus Ganesha,
p,"Jl. Ganesa No. 10Coblong, Kota Bandung, Jawa BaratIndonesia 40132humas@itb.ac.id",mailto:humas@itb.ac.id
h3,ITB Kampus Jatinangor,
p,"Jl. Let. Jen. Purn. Dr. (HC) Mashudi No. 1Jatinangor, Kab. Sumedang, Jawa BaratIndonesia 45363humas_jatinangor@itb.ac.id",mailto:humas_jatinangor@itb.ac.id
h3,ITB Kampus Cirebon,
p,"Desa Kebonturi, Arjawinangun,Blok.04 RT. 003/RW. 004, Kab. Cirebon, Jawa BaratIndonesia 45162kampuscirebon@itb.ac.id",mailto:kampuscirebon@itb.ac.id
h3,ITB Kampus Jakarta,
p,"Gedung Graha Irama (Indorama) Lt. 10 & 12Jl. H. R. Rasuna Said Kav. 1 SetiabudiKota Jakarta Selatan, DKI Jakarta Indonesia 12950kampusjakarta@itb.ac.id",mailto:kampusjakarta@itb.ac.id
h3,Tentang ITB,
li,Sejarah,https://itb.ac.id/sejarah
li,Kunjungan,https://itb.ac.id/kunjungan
li,Unduh,https://itb.ac.id/unduh
li,Direktori,/directories
li,Peta Kampus,http://petakampus.itb.ac.id/
h3,Penerimaan,
li,Pascasarjana,https://itb.ac.id/pascasarjana
li,Pertukaran Mahasiswa,https://itb.ac.id/pertukaran-mahasiswa
li,Profesi,https://itb.ac.id/profesi
li,Sarjana,https://itb.ac.id/sarjana
li,Kelas Internasional,https://itb.ac.id/kelas-internasional
h3,Pendidikan,
li,Fakultas dan Sekolah,https://itb.ac.id/fakultas-dan-sekolah
li,Program Studi,https://itb.ac.id/program-studi
li,Beasiswa,https://itb.ac.id/beasiswa
li,Pembelajaran Jarak Jauh,https://edunex.itb.ac.id/edunex-landing
li,Blended Learning,https://edunex.itb.ac.id/edunex-landing
li,Perpustakaan Digital,https://lib.itb.ac.id/
li,Agenda Akademik,/agenda/academic
h3,Penelitian,
li,Penelitian,https://itb.ac.id/penelitian
li,Kelompok Keahlian/Keilmuan,https://itb.ac.id/kelompok-keahliankeilmuan
li,Jurnal,https://itb.ac.id/jurnal
h3,Pengabdian,
li,DKST,https://dkst.itb.ac.id/
li,DRPM,https://drpm.itb.ac.id/
li,DPITM,https://dpitm.itb.ac.id/
li,Kemitraan,https://partnership.itb.ac.id/
li,BPUDL,https://bpudl.itb.ac.id/
h3,Tentang ITB,
li,Sejarah,https://itb.ac.id/sejarah
li,Kunjungan,https://itb.ac.id/kunjungan
li,Unduh,https://itb.ac.id/unduh
li,Direktori,/directories
li,Peta Kampus,http://petakampus.itb.ac.id/
h3,Penerimaan,
li,Pascasarjana,https://itb.ac.id/pascasarjana
li,Pertukaran Mahasiswa,https://itb.ac.id/pertukaran-mahasiswa
li,Profesi,https://itb.ac.id/profesi
li,Sarjana,https://itb.ac.id/sarjana
li,Kelas Internasional,https://itb.ac.id/kelas-internasional
h3,Pendidikan,
li,Fakultas dan Sekolah,https://itb.ac.id/fakultas-dan-sekolah
li,Program Studi,https://itb.ac.id/program-studi
li,Beasiswa,https://itb.ac.id/beasiswa
li,Pembelajaran Jarak Jauh,https://edunex.itb.ac.id/edunex-landing
li,Blended Learning,https://edunex.itb.ac.id/edunex-landing
li,Perpustakaan Digital,https://lib.itb.ac.id/
li,Agenda Akademik,/agenda/academic
h3,Penelitian,
li,Penelitian,https://itb.ac.id/penelitian
li,Kelompok Keahlian/Keilmuan,https://itb.ac.id/kelompok-keahliankeilmuan
li,Jurnal,https://itb.ac.id/jurnal
h3,Pengabdian,
li,DKST,https://dkst.itb.ac.id/
li,DRPM,https://drpm.itb.ac.id/
li,DPITM,https://dpitm.itb.ac.id/
li,Kemitraan,https://partnership.itb.ac.id/
li,BPUDL,https://bpudl.itb.ac.id/
