record_id,data_source,category,content,content_cleaned,content_length,quality_score,links,type,processed_date,original_index
11,multikampus,sejarah,"Kampus Jatinangor terletak di Sayang, Kecamatan Jatinangor, Kabupaten Sumedang, Jawa Barat. Kampus ini dibangun di lahan aset milik Pemerintah Provinsi Jawa Barat seluas 47 hektar yang sebelumnya digunakan sebagai kampus Universitas Winayamukti. Letak kampus ini cukup strategis karena berhadapan dengan Jalan Raya Bandung-Sumedang dan diapit oleh beberapa perguruan tinggi lainnya seperti Universitas Padjadjaran (UNPAD), Institut Manajemen Koperasi Indonesia (IKOPIN), dan Institut Pemerintahan Dalam Negeri (IPDN). Pada masa mendatang, akses menuju Kampus Jatinangor akan semakin mudah seiring dengan dibangunnya Jalan Tol Cileunyi-Sumedang-Dawuan (Cisumdawu).",kamp jati terl saya keca jati kabu sume jawa bara kamp diba laha aset mili peme prov jawa bara selu 47 hekt sebe digu kamp univ wina leta kamp cuku stra berh jala raya band diap bebe perg ting lain sepe univ padj unpa inst mana kope indo ikop inst peme nege ipdn masa mend akse menu kamp jati sema muda seir diba jala tol cile cisu,663,80,,p,2025-06-21,83
12,multikampus,akademik,"Lahan seluas 30 hektar di Kecamatan Arjawinangun Kabupaten Cirebon, dipersiapkan untuk pembangunan Kampus ITB di Cirebon. Terdapat 4 program studi yang telah dibuka ITB di Kampus Cirebon, yaitu Sarjana Teknik Industri, Sarjana Perencanaan Wilayah dan Kota, Sarjana Kriya, Sarjana Teknik Geofisika dan Sarjana Oseanografi. Pembangunan kampus di kota Cirebon sebagai bentuk peranan ITB dalam membangun riset yang unggul dan mengembangkan sumber daya manusia berkualitas dalam skala regional maupun nasional.",laha selu 30 hekt keca arja kabu cire dipe pemb kamp itb cire terd 4 prog stud dibu itb kamp cire yait sarj tekn indu sarj pere wila kota sarj kriy sarj tekn geof sarj osea pemb kamp kota cire bent pera itb memb rise ungg meng sumb daya manu berk skal regi maup nasi,505,80,,p,2025-06-21,87
13,multikampus,fasilitas,"Saat ini ITB telah melakukan pengembangan beberapa multikampus, yaitu ITB Kampus Ganesha, ITB Kampus Jatinangor, dan ITB Kampus Cirebon. Tidak hanya di tiga lokasi, ITB juga telah memperluas program multikampusnya di Jakarta. Terletak di Jantung Kota Jakarta, Kuningan, Rasuna Said, ITB memproyeksikan lokasi ini menjadi Kampus Jakarta secara permanen.",saat itb mela peng bebe mult yait itb kamp gane itb kamp jati itb kamp cire tiga loka itb memp prog mult jaka terl jant kota jaka kuni rasu said itb memp loka menj kamp jaka seca perm,352,80,,p,2025-06-21,91
14,multikampus,lainnya,"In Harmonia Progressio, Menggapai Martabat Bangsa dan Reputasi Dunia",in harm prog meng mart bang repu duni,68,60,https://itb.ac.id/in-harmonia-progressio-menggapai-martabat-bangsa-dan-reputasi-dunia,li,2025-06-21,98
15,multikampus,lokasi,"Jl. Ganesa No. 10Coblong, Kota Bandung, Jawa BaratIndonesia 40132humas@itb.ac.id",jl gane no 10co kota band jawa bara 4013,80,80,mailto:humas@itb.ac.id,p,2025-06-21,108
16,multikampus,lokasi,"Jl. Let. Jen. Purn. Dr. (HC) Mashudi No. 1Jatinangor, Kab. Sumedang, Jawa BaratIndonesia 45363humas_jatinangor@itb.ac.id",jl let jen purn dr hc mash no 1jat kab sume jawa bara 4536,120,100,mailto:humas_jatinangor@itb.ac.id,p,2025-06-21,110
17,multikampus,fasilitas,"Desa Kebonturi, Arjawinangun,Blok.04 RT. 003/RW. 004, Kab. Cirebon, Jawa BaratIndonesia 45162kampuscirebon@itb.ac.id",desa kebo arja rt 003r 004 kab cire jawa bara 4516,116,100,mailto:kampuscirebon@itb.ac.id,p,2025-06-21,112
18,multikampus,fasilitas,"Gedung Graha Irama (Indorama) Lt. 10 & 12Jl. H. R. Rasuna Said Kav. 1 SetiabudiKota Jakarta Selatan, DKI Jakarta Indonesia 12950kampusjakarta@itb.ac.id",gedu grah iram indo lt 10 12jl h r rasu said kav 1 seti jaka sela dki jaka indo 1295,151,100,mailto:kampusjakarta@itb.ac.id,p,2025-06-21,114
19,tentang,mahasiswa,PersonalStafMahasiswaMitraAlumniPengunjungPers,pers,46,60,https://itb.ac.id/staf https://itb.ac.id/mahasiswa https://itb.ac.id/mitra https://itb.ac.id/alumni https://itb.ac.id/pengunjung https://itb.ac.id/pers,li,2025-06-21,21
20,tentang,sejarah,Tentang ITBSejarahVisi dan MisiTugas dan FungsiPimpinanLandasan HukumStruktur OrganisasiMajelis Wali AmanatSenat AkademikMultikampusKunjungan,itbs misi fung huku orga wali aman akad,141,100,https://itb.ac.id/tentang-itb https://itb.ac.id/sejarah https://itb.ac.id/visi-dan-misi https://itb.ac.id/tugas-dan-fungsi https://itb.ac.id/pimpinan https://itb.ac.id/landasan-hukum https://itb.ac.id/struktur-organisasi https://itb.ac.id/majelis-wali-amanat https://itb.ac.id/senat-akademik https://itb.ac.id/multikampus https://itb.ac.id/kunjungan,li,2025-06-21,29
21,tentang,akademik,PenerimaanSarjanaPascasarjanaProfesiPertukaran MahasiswaKelas Internasional,pene maha inte,75,70,https://itb.ac.id/penerimaan https://itb.ac.id/sarjana https://itb.ac.id/pascasarjana https://itb.ac.id/profesi https://itb.ac.id/pertukaran-mahasiswa https://itb.ac.id/kelas-internasional,li,2025-06-21,41
22,tentang,akademik,PendidikanFakultas dan SekolahProgram StudiKelompok Keahlian/KeilmuanBeasiswaStaf,pend seko stud keah,81,70,https://itb.ac.id/pendidikan https://itb.ac.id/fakultas-dan-sekolah https://itb.ac.id/program-studi https://itb.ac.id/kelompok-keahliankeilmuan https://itb.ac.id/beasiswa /staff/,li,2025-06-21,48
23,tentang,fasilitas,KampusAktivitas MahasiswaJelajah,kamp maha,32,60,kehidupan-kampus https://itb.ac.id/aktivitas-mahasiswa https://itb.ac.id/jelajah,li,2025-06-21,55
24,tentang,mahasiswa,AlumniProgramProfilDonasi,alum,25,60,/alumni https://itb.ac.id/program-alumni https://itb.ac.id/profil-alumni https://itb.ac.id/donasi,li,2025-06-21,59
25,tentang,sejarah,Institut Teknologi Bandung (ITB) merupakan sekolah tinggi teknik pertama di Indonesia yang didirikan pada tanggal 3 Juli 1920 sebagai de Technische Hoogeschool te Bandoeng (TH). Tanggal 2 Maret 1959 diresmikan sebagai ITB dengan misi pengabdian ilmu pengetahuan dan teknologi untuk memajukan Indonesia. ITB hadir untuk mengoptimalkan pembangunan bangsa yang maju dan bermartabat.,inst tekn band itb meru seko ting tekn pert indo didi tang 3 juli 1920 de tech hoog te band th tang 2 mare 1959 dire itb misi peng ilmu peng tekn mema indo itb hadi meng pemb bang maju berm,379,80,,p,2025-06-21,68
26,tentang,akademik,Fakultas dan Sekolah12,faku seko,22,60,/fakultas-dan-sekolah,li,2025-06-21,79
27,tentang,sejarah,"Prof. Dr. Ir. Tatacipta Dirgantara, M.T., sebagai Rektor ITB Periode 2025-2030 yang melanjutkan kepemimpinan Prof. Reini Wirahadikusumah, Ph.D. sebagai rektor Institut Teknologi Bandung periode 2020-2025.",prof dr ir tata dirg mt rekt itb peri 2025 mela kepe prof rein wira phd rekt inst tekn band peri 2020,204,80,,p,2025-06-21,101
28,tentang,sejarah,"Kampus Ganesha merupakan kampus utama Institut Teknologi Bandung yang berlokasi di Jl. Ganesa No. 10, Bandung, Jawa Barat. Kampus yang didirikan pada tahun 1920 ini memiliki lahan seluas 28 hektar dan terus mengalami perluasan.",kamp gane meru kamp utam inst tekn band berl jl gane no 10 band jawa bara kamp didi tahu 1920 memi laha selu 28 hekt teru meng perl,227,80,,p,2025-06-21,109
29,tentang,akademik,"Untuk mendukung berbagai kegiatan akademik maupun non akademik, ITB memperluas kampusnya dengan mendirikan Kampus Jatinangor. Kampus Jatinangor terletak di Jatinangor, Sumedang, Jawa Barat. Kini, Kampus Jatinangor memiliki 12 program studi.",mend berb kegi akad maup non akad itb memp kamp mend kamp jati kamp jati terl jati sume jawa bara kini kamp jati memi 12 prog stud,240,80,,p,2025-06-21,111
30,tentang,fasilitas,"Institut Teknologi Bandung (ITB) telah berkomitmen dalam pengembangan multikampus salah satunya kampus ITB di Cirebon. Hal ini sebagai bentuk meningkatkan peran ITB dalam membangun riset ke depan dan berkontribusi untuk pengembangan sumber daya manusia yang berkualitas dalam skala regional maupun nasional. Lahan seluas 30 hektar dipersiapkan untuk pembangunan Kampus ITB di Cirebon yang terletak di Kecamatan Arjawinangun, Kabupaten Cirebon.",inst tekn band itb berk peng mult sala satu kamp itb cire hal bent meni pera itb memb rise depa berk peng sumb daya manu berk skal regi maup nasi laha selu 30 hekt dipe pemb kamp itb cire terl keca arja kabu cire,443,80,,p,2025-06-21,113
31,tentang,akademik,"Observatorium Bosscha adalah lembaga riset yang berada di bawah naungan Fakultas Matematika dan Ilmu Pengetahuan Alam ITB. Observatorium Bosscha merupakan observatorium tertua di Indonesia. Bersama-sama dengan Program Studi Astronomi, FMIPA ITB, Observatorium Bosscha menjadi pusat penelitian, pendidikan, dan pengembangan ilmu Astronomi di Indonesia.",obse boss lemb rise bera bawa naun faku mate ilmu peng alam itb obse boss meru obse tert indo bers prog stud astr fmip itb obse boss menj pusa pene pend peng ilmu astr indo,351,80,,p,2025-06-21,115
32,tentang,lainnya,Museum Zoologi SITH-ITB menyimpan sekitar 15 ribu sampel hewan dan bagian tubuh dari hewan. Hewan-hewan yang dikoleksi mencakup hewan-hewan yang dahulu mudah dijumpai di lingkungan kita serta beberapa hewan langka. Museum ini juga dibangun sebagai penunjang perkuliahan.,muse zool sith meny seki 15 ribu samp hewa bagi tubu hewa hewa diko menc hewa dahu muda diju ling sert bebe hewa lang muse diba penu perk,270,60,,p,2025-06-21,117
33,tentang,fasilitas,"Pusat Iptek Sabuga terletak di lantai 4 Gedung Sasana Budaya Ganesha. Pusat Iptek Sabuga merupakan galeri sains yang di dalamnya terdapat Dome Theatre yang menampilkan pertunjukan khusus, area Kids Smart yang memperkenalkan teknologi kepada anak-anak dengan metode bermain sambil belajar, serta terdapat Science Gallery yang memiliki alat-alat peraga seperti bicycle gyro, momentum chair, dll.",pusa ipte sabu terl lant 4 gedu sasa buda gane pusa ipte sabu meru gale sain dala terd dome thea mena pert khus area kids smar memp tekn kepa anak meto berm samb bela sert terd scie gall memi alat pera sepe bicy gyro mome chai dll,393,80,,p,2025-06-21,119
34,tentang,lokasi,"Jl. Ganesa No. 10Coblong, Kota Bandung, Jawa BaratIndonesia 40132humas@itb.ac.id",jl gane no 10co kota band jawa bara 4013,80,80,mailto:humas@itb.ac.id,p,2025-06-21,121
35,tentang,lokasi,"Jl. Let. Jen. Purn. Dr. (HC) Mashudi No. 1Jatinangor, Kab. Sumedang, Jawa BaratIndonesia 45363humas_jatinangor@itb.ac.id",jl let jen purn dr hc mash no 1jat kab sume jawa bara 4536,120,100,mailto:humas_jatinangor@itb.ac.id,p,2025-06-21,123
36,tentang,fasilitas,"Desa Kebonturi, Arjawinangun,Blok.04 RT. 003/RW. 004, Kab. Cirebon, Jawa BaratIndonesia 45162kampuscirebon@itb.ac.id",desa kebo arja rt 003r 004 kab cire jawa bara 4516,116,100,mailto:kampuscirebon@itb.ac.id,p,2025-06-21,125
37,tentang,fasilitas,"Gedung Graha Irama (Indorama) Lt. 10 & 12Jl. H. R. Rasuna Said Kav. 1 SetiabudiKota Jakarta Selatan, DKI Jakarta Indonesia 12950kampusjakarta@itb.ac.id",gedu grah iram indo lt 10 12jl h r rasu said kav 1 seti jaka sela dki jaka indo 1295,151,100,mailto:kampusjakarta@itb.ac.id,p,2025-06-21,127
38,wikipedia,sejarah,"1SejarahGulingkan subbagian Sejarah1.1Technische Hoogeschool te Bandoeng(1920–1942)1.2Institute of Tropical Scientific Research(1942–1945)1.3Bandoeng Koogyo Daigaku(1944–1945)1.4Sekolah Tinggi Teknik Bandung (1945–1946)1.5Technische Faculteit, Nood-Universiteit van Nederlandsch Indie(1946–1947)1.6Faculteit van Technische WetenschapdanFaculteit der Exacte Wetenschap Universiteit van Indonesie te Bandoeng(1947–1950)1.7Fakultas Teknik dan Fakultas Ilmu Pasti dan Ilmu Alam Universitas Indonesia Bandung (1950–1959)1.8Institut Teknologi Bandung (1959–sekarang)",1sej subb seja hoog te band of trop scie rese koog daig ting tekn band 1945 facu nood van nede indi van tech wete der exac wete univ van indo te band tekn faku ilmu past ilmu alam univ indo band 1950 tekn band 1959,560,100,"#Sejarah #Technische_Hoogeschool_te_Bandoeng_(1920–1942) #Institute_of_Tropical_Scientific_Research_(1942–1945) #Bandoeng_Koogyo_Daigaku_(1944–1945) #Sekolah_Tinggi_Teknik_Bandung_(1945–1946) #Technische_Faculteit,_Nood-Universiteit_van_Nederlandsch_Indie_(1946–1947) #Faculteit_van_Technische_Wetenschap_dan_Faculteit_der_Exacte_Wetenschap_Universiteit_van_Indonesie_te_Bandoeng_(1947–1950) #Fakultas_Teknik_dan_Fakultas_Ilmu_Pasti_dan_Ilmu_Alam_Universitas_Indonesia_Bandung_(1950–1959) #Institut_Teknologi_Bandung_(1959–sekarang)",li,2025-06-21,26
39,wikipedia,lokasi,1.4Sekolah Tinggi Teknik Bandung (1945–1946),14se ting tekn band 1945,44,60,#Sekolah_Tinggi_Teknik_Bandung_(1945–1946),li,2025-06-21,30
40,wikipedia,lainnya,"1.5Technische Faculteit, Nood-Universiteit van Nederlandsch Indie(1946–1947)",15te facu nood van nede indi,76,60,"#Technische_Faculteit,_Nood-Universiteit_van_Nederlandsch_Indie_(1946–1947)",li,2025-06-21,31
41,wikipedia,lainnya,1.6Faculteit van Technische WetenschapdanFaculteit der Exacte Wetenschap Universiteit van Indonesie te Bandoeng(1947–1950),16fa van tech wete der exac wete univ van indo te band,122,80,#Faculteit_van_Technische_Wetenschap_dan_Faculteit_der_Exacte_Wetenschap_Universiteit_van_Indonesie_te_Bandoeng_(1947–1950),li,2025-06-21,32
42,wikipedia,akademik,1.7Fakultas Teknik dan Fakultas Ilmu Pasti dan Ilmu Alam Universitas Indonesia Bandung (1950–1959),17fa tekn faku ilmu past ilmu alam univ indo band 1950,98,90,#Fakultas_Teknik_dan_Fakultas_Ilmu_Pasti_dan_Ilmu_Alam_Universitas_Indonesia_Bandung_(1950–1959),li,2025-06-21,33
43,wikipedia,penelitian,1.8Institut Teknologi Bandung (1959–sekarang),18in tekn band 1959,45,60,#Institut_Teknologi_Bandung_(1959–sekarang),li,2025-06-21,34
44,wikipedia,fasilitas,3KampusGulingkan subbagian Kampus3.1ITB Kampus Ganesha3.2ITB Kampus Jatinangor3.3ITB Kampus Cirebon3.4ITB Kampus Jakarta,3kam subb kamp kamp gane kamp jati kamp cire kamp jaka,120,100,#Kampus #ITB_Kampus_Ganesha #ITB_Kampus_Jatinangor #ITB_Kampus_Cirebon #ITB_Kampus_Jakarta,li,2025-06-21,36
45,wikipedia,fasilitas,3.1ITB Kampus Ganesha,31it kamp gane,21,60,#ITB_Kampus_Ganesha,li,2025-06-21,37
46,wikipedia,fasilitas,3.2ITB Kampus Jatinangor,32it kamp jati,24,60,#ITB_Kampus_Jatinangor,li,2025-06-21,38
47,wikipedia,fasilitas,3.3ITB Kampus Cirebon,33it kamp cire,21,60,#ITB_Kampus_Cirebon,li,2025-06-21,39
48,wikipedia,fasilitas,3.4ITB Kampus Jakarta,34it kamp jaka,21,60,#ITB_Kampus_Jakarta,li,2025-06-21,40
49,wikipedia,akademik,4Fakultas dan sekolah,4fak seko,21,60,#Fakultas_dan_sekolah,li,2025-06-21,41
50,wikipedia,akademik,"5AkreditasiGulingkan subbagian Akreditasi5.1Akreditasi Nasional5.1.1Fakultas Matematika dan Ilmu Pengetahuan Alam (FMIPA)5.1.2Sekolah Ilmu dan Teknologi Hayati (SITH)5.1.3Sekolah Farmasi (SF)5.1.4Fakultas Ilmu dan Teknologi Kebumian (FITB)5.1.5Fakultas Teknik Pertambangan dan Perminyakan (FTTM)5.1.6Sekolah Teknik Elektro dan Informatika (STEI)5.1.7Fakultas Teknologi Industri (FTI)5.1.8Fakultas Teknik Mesin dan Dirgantara (FTMD)5.1.9Fakultas Teknik Sipil dan Lingkungan (FTSL)5.1.10Sekolah Arsitektur, Perencanaan, dan Pengembangan Kebijakan (SAPPK)5.1.11Fakultas Seni Rupa dan Desain (FSRD)5.1.12Sekolah Bisnis dan Manajemen (SBM)5.1.13Sekolah Pasca Sarjana (SPS)5.1.14Non Fakultas/Sekolah (NONFS)5.2Akreditasi Internasional5.2.1Fakultas Matematika dan Ilmu Pengetahuan Alam (FMIPA)5.2.2Sekolah Ilmu dan Teknologi Hayati (SITH)5.2.3Sekolah Farmasi (SF)5.2.4Fakultas Ilmu dan Teknologi Kebumian (FITB)5.2.5Fakultas Teknik Pertambangan dan Perminyakan (FTTM)5.2.6Sekolah Teknik Elektro dan Informatika (STEI)5.2.7Fakultas Teknologi Industri (FTI)5.2.8Fakultas Teknik Mesin dan Dirgantara (FTMD)5.2.9Fakultas Teknik Sipil dan Lingkungan (FTSL)5.2.10Sekolah Arsitektur, Perencanaan, dan Pengembangan Kebijakan (SAPPK)5.2.11Sekolah Bisnis dan Manajemen (SBM)",5akr subb akre nasi mate ilmu peng alam fmip ilmu tekn haya sith farm sf51 ilmu tekn kebu fitb tekn pert perm fttm tekn elek info stei tekn indu fti5 tekn mesi dirg ftmd tekn sipi ling ftsl arsi pere peng kebi sapp seni rupa desa fsrd bisn mana sbm5 pasc sarj sps5 faku nonf inte mate ilmu peng alam fmip ilmu tekn haya sith farm sf52 ilmu tekn kebu fitb tekn pert perm fttm tekn elek info stei tekn indu fti5 tekn mesi dirg ftmd tekn sipi ling ftsl arsi pere peng kebi sapp bisn mana sbm,1257,100,"#Akreditasi #Akreditasi_Nasional #Fakultas_Matematika_dan_Ilmu_Pengetahuan_Alam_(FMIPA) #Sekolah_Ilmu_dan_Teknologi_Hayati_(SITH) #Sekolah_Farmasi_(SF) #Fakultas_Ilmu_dan_Teknologi_Kebumian_(FITB) #Fakultas_Teknik_Pertambangan_dan_Perminyakan_(FTTM) #Sekolah_Teknik_Elektro_dan_Informatika_(STEI) #Fakultas_Teknologi_Industri_(FTI) #Fakultas_Teknik_Mesin_dan_Dirgantara_(FTMD) #Fakultas_Teknik_Sipil_dan_Lingkungan_(FTSL) #Sekolah_Arsitektur,_Perencanaan,_dan_Pengembangan_Kebijakan_(SAPPK) #Fakultas_Seni_Rupa_dan_Desain_(FSRD) #Sekolah_Bisnis_dan_Manajemen_(SBM) #Sekolah_Pasca_Sarjana_(SPS) #Non_Fakultas/Sekolah_(NONFS) #Akreditasi_Internasional #Fakultas_Matematika_dan_Ilmu_Pengetahuan_Alam_(FMIPA)_2 #Sekolah_Ilmu_dan_Teknologi_Hayati_(SITH)_2 #Sekolah_Farmasi_(SF)_2 #Fakultas_Ilmu_dan_Teknologi_Kebumian_(FITB)_2 #Fakultas_Teknik_Pertambangan_dan_Perminyakan_(FTTM)_2 #Sekolah_Teknik_Elektro_dan_Informatika_(STEI)_2 #Fakultas_Teknologi_Industri_(FTI)_2 #Fakultas_Teknik_Mesin_dan_Dirgantara_(FTMD)_2 #Fakultas_Teknik_Sipil_dan_Lingkungan_(FTSL)_2 #Sekolah_Arsitektur,_Perencanaan,_dan_Pengembangan_Kebijakan_(SAPPK)_2 #Sekolah_Bisnis_dan_Manajemen_(SBM)_2",li,2025-06-21,42
51,wikipedia,akademik,"5.1Akreditasi Nasional5.1.1Fakultas Matematika dan Ilmu Pengetahuan Alam (FMIPA)5.1.2Sekolah Ilmu dan Teknologi Hayati (SITH)5.1.3Sekolah Farmasi (SF)5.1.4Fakultas Ilmu dan Teknologi Kebumian (FITB)5.1.5Fakultas Teknik Pertambangan dan Perminyakan (FTTM)5.1.6Sekolah Teknik Elektro dan Informatika (STEI)5.1.7Fakultas Teknologi Industri (FTI)5.1.8Fakultas Teknik Mesin dan Dirgantara (FTMD)5.1.9Fakultas Teknik Sipil dan Lingkungan (FTSL)5.1.10Sekolah Arsitektur, Perencanaan, dan Pengembangan Kebijakan (SAPPK)5.1.11Fakultas Seni Rupa dan Desain (FSRD)5.1.12Sekolah Bisnis dan Manajemen (SBM)5.1.13Sekolah Pasca Sarjana (SPS)5.1.14Non Fakultas/Sekolah (NONFS)",51ak nasi mate ilmu peng alam fmip ilmu tekn haya sith farm sf51 ilmu tekn kebu fitb tekn pert perm fttm tekn elek info stei tekn indu fti5 tekn mesi dirg ftmd tekn sipi ling ftsl arsi pere peng kebi sapp seni rupa desa fsrd bisn mana sbm5 pasc sarj sps5 faku nonf,660,100,"#Akreditasi_Nasional #Fakultas_Matematika_dan_Ilmu_Pengetahuan_Alam_(FMIPA) #Sekolah_Ilmu_dan_Teknologi_Hayati_(SITH) #Sekolah_Farmasi_(SF) #Fakultas_Ilmu_dan_Teknologi_Kebumian_(FITB) #Fakultas_Teknik_Pertambangan_dan_Perminyakan_(FTTM) #Sekolah_Teknik_Elektro_dan_Informatika_(STEI) #Fakultas_Teknologi_Industri_(FTI) #Fakultas_Teknik_Mesin_dan_Dirgantara_(FTMD) #Fakultas_Teknik_Sipil_dan_Lingkungan_(FTSL) #Sekolah_Arsitektur,_Perencanaan,_dan_Pengembangan_Kebijakan_(SAPPK) #Fakultas_Seni_Rupa_dan_Desain_(FSRD) #Sekolah_Bisnis_dan_Manajemen_(SBM) #Sekolah_Pasca_Sarjana_(SPS) #Non_Fakultas/Sekolah_(NONFS)",li,2025-06-21,43
52,wikipedia,akademik,5.1.1Fakultas Matematika dan Ilmu Pengetahuan Alam (FMIPA),511f mate ilmu peng alam fmip,58,80,#Fakultas_Matematika_dan_Ilmu_Pengetahuan_Alam_(FMIPA),li,2025-06-21,44
53,wikipedia,penelitian,5.1.2Sekolah Ilmu dan Teknologi Hayati (SITH),512s ilmu tekn haya sith,45,70,#Sekolah_Ilmu_dan_Teknologi_Hayati_(SITH),li,2025-06-21,45
54,wikipedia,akademik,5.1.4Fakultas Ilmu dan Teknologi Kebumian (FITB),514f ilmu tekn kebu fitb,48,70,#Fakultas_Ilmu_dan_Teknologi_Kebumian_(FITB),li,2025-06-21,47
55,wikipedia,akademik,5.1.5Fakultas Teknik Pertambangan dan Perminyakan (FTTM),515f tekn pert perm fttm,56,80,#Fakultas_Teknik_Pertambangan_dan_Perminyakan_(FTTM),li,2025-06-21,48
56,wikipedia,akademik,5.1.7Fakultas Teknologi Industri (FTI),517f tekn indu fti,38,60,#Fakultas_Teknologi_Industri_(FTI),li,2025-06-21,50
57,wikipedia,akademik,5.1.8Fakultas Teknik Mesin dan Dirgantara (FTMD),518f tekn mesi dirg ftmd,48,70,#Fakultas_Teknik_Mesin_dan_Dirgantara_(FTMD),li,2025-06-21,51
58,wikipedia,akademik,5.1.9Fakultas Teknik Sipil dan Lingkungan (FTSL),519f tekn sipi ling ftsl,48,70,#Fakultas_Teknik_Sipil_dan_Lingkungan_(FTSL),li,2025-06-21,52
